name,latitude,longitude,cuisine,phone,website,opening_hours,street,house_number,city,amenity,brand,operator,category
Crab Du Jour Xpress Cajun,40.7163717,-73.9875854,seafood,+19176757227,crabdujourxpressny.com,Mo-Su 11:00-04:00,Grand Street,384,New York,restaurant,,,restaurant
Rockaway Fish House,40.6738568,-73.7990512,seafood,+1-718-529-3576,https://www.rockawayfishhouse.com/,Su-Th 11:00-22:00; Fr-Sa 10:00-24:00,Rockaway Boulevard,14122,Jamaica,restaurant,,,restaurant
Wonton Noodle Garden,40.7157853,-73.9982634,chinese,+1-212-966-4033,,Mo-Su 10:30-20:00,Mott Street,56,,restaurant,,,restaurant
House Of Gyro & Shawarma,40.7030233,-73.8951913,"mediterranean, coffee, gyros, sandwich",+1-347-844-9183,,Mo-Su 14:00-23:45,Fresh Pond Road,69-01,,restaurant,,,restaurant
Zenith Thai,40.7024081,-73.8953095,thai,+1-718-497-8899,,Mo-Th 11:00-22:00; Fr 11:00-23:00; Sa 12:00-23:00; Su 12:00-22:00,Fresh Pond Road,70-02,,restaurant,,,restaurant
Celtic Gasthaus,40.7008443,-73.8922402,irish,+1--718-456-8341,,,Myrtle Avenue,64-04,,restaurant,,,restaurant
Double,40.7007006,-73.8938111,chinese,+1-718-326-3661,,Mo-Su 11:00-22:00,Myrtle Avenue,61-10,,restaurant,,,restaurant
Vietnaam,40.7791988,-73.9505048,vietnamese,+1 212-722-0558,,Mo-Su 12:00-20:30,2nd Avenue,1700,,restaurant,,,restaurant
Wok 88,40.7803566,-73.9531066,chinese,+1 212-828-8688,https://www.wok88inc.com/,Mo-Th 11:30-23:00; Fr 11:30-23:30; Sa 12:00-23:30; Su 12:00-23:00,3rd Avenue,1570,,restaurant,,,restaurant
Móle,40.7802891,-73.9502159,mexican,,,12:00-22:00,2nd Avenue,1735,,restaurant,,,restaurant
Rosie's,40.7249227,-73.9906582,mexican,,,Tu-Th 17:00-23:00; Fr 16:00-23:00; Sa 11:00-23:00; Su 11:00-22:00,East 2nd Street,29,,restaurant,,,restaurant
Pokee,40.7305853,-74.000436,japanese,,,,West 3rd Street,121,New York,restaurant,,,restaurant
Juquila,40.7473001,-73.8831213,mexican,(718) 458-0104,https://www.juquilamexicancuisine.com/,Mo-Su 10:00-01:30,,,,restaurant,,,restaurant
Delicious Chinese Food Inc,40.7876253,-73.9443966,chinese,+1 212-996-6931,,"Mo-Th 11:00-23:30; Fr,Sa 11:00-24:00; Su 11:30-23:30",2nd Avenue,1974,,restaurant,,,restaurant
Ace Pizzeria and Restaurant,40.7006939,-73.8940349,pizza,+1-718-418-0038,https://acepizzany.com/,Mo-Su 11:00-22:30,Myrtle Avenue,61-04,,restaurant,,,restaurant
Corato II Pizza,40.7009113,-73.8950499,pizza,+1-718-381-5656,http://www.coratopizzany.com/,"Tu-Th, Su 11:30-22:30; Fr, Sa 11:30-23:30",Myrtle Avenue,60-91,,restaurant,,,restaurant
Met Dining Room,40.7788973,-73.9644595,,,,,,,,restaurant,,,restaurant
Gaby's Pizza,40.7209932,-73.7607614,pizza,+1-718-740-9716,https://gabyspizza.com,10:00-22:00,Hillside Avenue,204-23,Hollis,restaurant,,,restaurant
New Suki Ichiro,40.7788724,-73.9507751,"sushi, japanese",+1 212-369-6300,https://www.sukiichiro.com/,"Mo-Th 11:00-15:00,17:00-22:00; Fr-Sa 11:00-15:00,17:00-23:00, Su 11:00-15:00,17:00-22:00",2nd Avenue,1694,,restaurant,,,restaurant
Angelinana,40.7006784,-73.8975972,sushi,,,,Myrtle Avenue,60-19,,restaurant,,,restaurant
DB Bistro Moderne,40.755845,-73.9822708,french,,https://www.dbbistro.com/nyc/,,,,,restaurant,,,restaurant
Bagel Bistro,40.6128191,-74.123728,bagel,,https://www.bagelbistrodinnergrill.com,,Victory Boulevard,1808,,restaurant,,,restaurant
Sea Wolf,40.7067737,-73.9228508,seafood,+1-718-366-3272,https://seawolfbk.com/,"Mo-Th, Su 11:00-23:00; Fr, Sa 11:00-24:00",Wyckoff Avenue,19,,restaurant,,,restaurant
Desi Grill,40.7057323,-73.9217649,indian,+1-718-381-9777,http://desigrillindiancuisinebk.com/,Mo-Su 11:00-23:00,Wyckoff Avenue,46,,restaurant,,,restaurant
Manousheh,40.7293785,-74.0013718,lebanese,,,,,,,restaurant,,,restaurant
Sal's Pizzeria,40.7044944,-73.9192531,pizza,+1-718-386-5299,,Mo-Su 10:00-22:00,Wyckoff Avenue,119,,restaurant,,,restaurant
Miatzil,40.6736077,-73.982405,mexican,+1-929-355-3077,https://miatzilnyc.com,,,,,restaurant,,,restaurant
Pangat,40.6711809,-73.9844222,indian,+1-347-422-0059,https://www.pangatny.com,Mo-Su 17:00-21:00,,,,restaurant,,,restaurant
Masalawala & Sons,40.6712802,-73.9843443,indian,,https://www.masalawala.com,"Tu-Fr 17:00-22:00; Sa-Su 11:30-14:30, 17:00-22:00",,,,restaurant,,,restaurant
Prem,40.6734692,-73.9825256,thai,+1-347-599-1952,,"Mo-Th 12:30-15:30,16:30-22:00; Fr-Sa 12:30-15:30,16:30-22:30; Su 12:30-15:30,16:30-22:00",,,,restaurant,,,restaurant
Crown Chicken & Grill,40.7042127,-73.9188024,"fried_food, fried_chicken",+1-718-341-8400,https://www.crownfriedchicken.com/restaurants/new-york,,Wyckoff Avenue,127,Brooklyn,restaurant,,,restaurant
Gyro,40.7037765,-73.9179885,greek,,,,Wyckoff Avenue,151,,restaurant,,,restaurant
Inca Chicken,40.7034857,-73.9182324,chicken,+1-718-366-3763,,Mo-Su 11:30-21:00,Wyckoff Avenue,122,,restaurant,,,restaurant
Dinner on Ludlow,40.7186318,-73.9893489,,,,,Delancey Street,95,,restaurant,,,restaurant
Sadelle’s,40.7262525,-74.0001116,"seafood, bagel",+1-212-776-4926,https://www.sadelles.com/,Mo-We 08:30-14:30; Th-Sa 08:30-20:30; Su 08:30-17:00,West Broadway,463,,restaurant,,,restaurant
egg shop,40.7187792,-73.9580349,,,,,North 8th Street,138,,restaurant,,,restaurant
Westville,40.7272539,-74.0075081,american,+1-212-776-1404,https://westvillenyc.com/locations/westville-hudson/,"Mo-Fr 11:30-15:00, 17:00-21:30; Sa-Su 10:00-16:00, 17:00-21:30",Hudson Street,333,New York,restaurant,,,restaurant
Kalina Bar & Grill,40.6872723,-73.9185073,caribbean,+1-718-919-1111,https://www.kalinabrooklyn.com/,Mo-Su 10:00-20:00,Broadway,1476,,restaurant,,,restaurant
Thai Me,40.6972994,-73.9360964,thai,,,,Broadway,918,,restaurant,,,restaurant
North River Lobster Company,40.7617789,-74.0027011,,,,,West 41st Street,Pier 81,,restaurant,,,restaurant
The Butcher’s Daughter,40.7363404,-74.0060825,,,,,Hudson Street,581,,restaurant,,,restaurant
Klom Klorm,40.7031166,-73.9170639,thai,+1-718-489-9188,https://www.klomklormnyc.com/,Mo-Su 11:00-22:30,Wyckoff Avenue,181,,restaurant,,,restaurant
Ops,40.7026827,-73.9171262,pizza,+1-718-386-4009,https://opsbk.com,"Tu-Th,Su 17:00-22:00; Fr,Sa 17:00-23:00",Himrod Street,346,Brooklyn,restaurant,,,restaurant
Kanan Indian Restaurant,40.6718143,-73.9909188,indian,+1-718-369-3777,http://kananindianrestaurant.com,"Mo-Su 11:30-15:00, 17:00-22:30",,,,restaurant,,,restaurant
Amaranto,40.703075,-73.9218056,mexican,+1-718-576-6001,https://amarantobklyn.com/,"Mo-Th, Su 12:00-23:00; Fr, Sa 12:00-24:00",Hart Street,887,,restaurant,,,restaurant
Amanda's Kitchen,40.7020214,-73.9236569,salvadoran,+1-347-488-6297,,,Suydam Street,264,,restaurant,,,restaurant
Mi Bella Dama,40.7016763,-73.9237546,"dominican, seafood",+1-718-628-4253,http://mibelladama.us/,Mo-Su 08:00-23:00,Knickerbocker Avenue,296,,restaurant,,,restaurant
BK JANI,40.7020781,-73.9243236,"pakistani, burger, kebab",+1-347-460-5110,,We-Su 12:00-22:00; Tu 17:00-22:00,Knickerbocker Avenue,276,Brooklyn,restaurant,,,restaurant
Sushi & Noodles,40.7034447,-73.925762,"noodle, sushi",,,Mo-Su 12:00-23:00,Troutman Street,274,,restaurant,,,restaurant
Ayat,40.7026307,-73.9253849,,,,,Knickerbocker Avenue,242,,restaurant,,,restaurant
New Capital,40.867372,-73.8977509,diner,+1 718 584 9234,http://www.newcapitalbronx.com,24/7,West Kingsbridge Road,2,,restaurant,,,restaurant
Luck Thai,40.6709654,-73.9850217,thai,+1-718-499-1888,,Mo-Th 11:30-22:00; Fr-Sa 11:30-22:30; Su 12:00-22:00,,,,restaurant,,,restaurant
Spicy Bai Chuan,40.616558,-73.9929903,chinese,+1-347-371-9899; +1-929-977-3999,http://www.spicybaichuan.com/,Mo-Su 11:30-22:00,18th Avenue,6916,,restaurant,,,restaurant
Spicy Bampa,40.616475,-73.9930786,chinese,+1-718-236-8088,,Mo-Su 12:00-22:30,18th Avenue,6920,,restaurant,,,restaurant
Hiroto Sushi,40.6819364,-73.9763773,"sushi, japanese",+1-718-638-0888,https://www.hirotosushi.com,Tu-Su 12:00-22:30,Dean Street,446B,,restaurant,,,restaurant
Noodle Lane,40.6701163,-73.9790899,chinese,+1-347-599-2009,https://www.noodlelane.com,"Mo,We-Su 11:30-21:00",,,,restaurant,,,restaurant
Encuentro,40.7524409,-73.8639174,,,,,103rd Street,37-29,,restaurant,,,restaurant
Coco,40.74183,-73.880753,"malaysian, thai",718-565-2030,,,Broadway,82-69,,restaurant,,,restaurant
Elmhurst Famous Pizza,40.7410598,-73.8797348,pizza,,,"Su-Th 11:00-22:00; Fr,Sa 11:00-23:00",Broadway,83-07,,restaurant,,,restaurant
Lao Fu Zhou,40.7409753,-73.8796041,chinese,+17186996688,,,Broadway,83-11,Elmhurst,restaurant,,,restaurant
Nha Sang Restaurant,40.7409125,-73.8795039,tibetan,347-730-6117,,,Broadway,83-17,Elmhurst,restaurant,,,restaurant
Nepali Bhanchha Ghar,40.7470294,-73.8908243,"tibetan, nepalese",,,,Roosevelt Avenue,74-15,Jackson Heights,restaurant,,,restaurant
Thai Rock,40.5889597,-73.8173014,thai,+1-718-945-5111,https://thairock.us/,,Beach 92nd Street,350,,restaurant,,,restaurant
Le Viêt Thai,40.7811676,-73.9491151,"vietnamese, thai",+1 917-388-3897,,"Mo-Th, Su 11:30-16:00, 17:00-22:30; Fr, Sa 12:00-16:00, 17:00-23:00",2nd Avenue,1750,,restaurant,,,restaurant
Bangrak Thai Cuisine,40.7811358,-73.9491383,thai,+1 212-289-8889,,"Mo-Su 11:30-16:00, 17:00-22:00",2nd Avenue,1750,,restaurant,,,restaurant
El Comal Pupuseria,40.706412,-73.8068038,salvadorean,+1 718-523-3353,,,Hillside Avenue,148-60,,restaurant,,,restaurant
Rustico Taverna,40.7092294,-73.8984119,"italian, pizza",+1-347-799-2880,https://www.rusticoqueens.com,Mo-Su 12:00-21:00,Fresh Pond Road,65-17,,restaurant,,,restaurant
El Paso Taqueria,40.7873686,-73.9527035,mexican,+1-212-996-1739,,Mo-Su 09:30-23:00,East 97th Street,64,,restaurant,,,restaurant
Beco,40.7183558,-73.9504513,brazilian,+1 718-599-1645,https://www.becobar.com,Mo-Fr 11:00-24:00; Sa 10:00-24:00; Su 10:00-23:00,,,,restaurant,,,restaurant
Patsy's Pizzeria,40.6818471,-73.9761826,"pizza, italian",+1 718 622 2268,https://patsyspizza.nyc,"Mo-Th 12:00-22:00; Fr,Sa 12:00-23:00; Su 12:00-22:00",,,,restaurant,,,restaurant
Faro,40.7074483,-73.9229012,italian,+1-718-381-8201,https://farobk.com/,Mo-Sa 18:00-23:00; Su 17:00-22:00,Jefferson Street,436,,restaurant,,,restaurant
Bunker Vietnamese,40.7104957,-73.9232382,"sandwich, vietnamese",+1-718-386-4282,https://www.bunkernyc.com/,"Tu, We, Su 12:00-22:00; Th-Sa 12:00-23:00",Scott Avenue,99,,restaurant,,,restaurant
Ella Social,40.7770276,-73.978849,spanish,,https://ellasocial.com,,Columbus Avenue,249,New York,restaurant,,,restaurant
Hwa Yuan,40.7137082,-73.9959474,chinese,,,,,,,restaurant,,,restaurant
Jade Star Kitchen,40.6161652,-73.9933995,chinese,,,Mo-Th 11:00-23:00; Fr-Sa 11:00-23:30; Su 12:00-23:00,18th Avenue,7008,,restaurant,,,restaurant
Strokos Deli,40.805466,-73.9622848,,,,,Amsterdam Avenue,1090,,restaurant,,,restaurant
Sabay,40.746075,-73.8896943,thai,+1-718-424-9054,,,Broadway,75-19,Elmhurst,restaurant,,,restaurant
Mario's Pizza & Cafe,40.7460042,-73.8841818,,,,,41st Avenue,81-21,,restaurant,,,restaurant
Cheong Fei,40.7462816,-73.883357,chinese,,,,Baxter Avenue,81-48,,restaurant,,,restaurant
Guayaco's,40.7461998,-73.8834206,colombian,,,,Baxter Avenue,81-42,,restaurant,,,restaurant
New Jin Xin,40.6156875,-73.9938606,chinese,+1-718-837-2820,http://newjinxinchinese.com/,Su-Th 10:30-22:00; Fr-Sa 10:30-22:30,18th Avenue,7102,,restaurant,,,restaurant
Pho'18 Ave,40.6154351,-73.9941385,vietnamese,+1-347-374-6633,,,18th Avenue,7116,,restaurant,,,restaurant
Julietta,40.7478726,-73.8847947,,,,,81st Street,37-63,,restaurant,,,restaurant
La Perla Del Ulua,40.7038798,-73.9276682,honduran,+1-718-366-9407,,Tu-Su 10:00-22:00,Melrose Street,354,,restaurant,,,restaurant
Molly's Milk Truck,40.703232,-73.9264546,"american, burger, ice_cream, salad",+1-718-628-3663,https://mollysmilktruck.com/,,,,,restaurant,,,restaurant
Sazon Nuñez,40.7042927,-73.9194903,dominican,+1-347-750-7894,,Mo-Su 10:30-21:30,Wyckoff Avenue,96,Brooklyn,restaurant,,,restaurant
Delight Diner and Donuts,40.7062749,-73.8966313,"american, burger, salad, wrap, soup, donut, sandwich",+1-718-628-4708,http://delightdiner.com/,Mo-Sa 06:00-22:00; Su 06:00-15:00,Fresh Pond Road,66-91,,restaurant,,,restaurant
Veselka,40.7289775,-73.9869985,ukrainian,+1 212-228-9682,https://www.veselka.com/location/veselka/,Mo-Sa 08:00-24:00; Su 08:00-23:00,2nd Avenue,144,New York,restaurant,,,restaurant
The COOP Restaurant and Bar,40.7593921,-73.8327216,korean,(718) 358-9333,http://thecoopnyc.com,Su-We 12:00-02:00; Th-Sa 12:00-02:00,Prince Street,39-16,Flushing,restaurant,,,restaurant
Tiny Shanghai,40.7178259,-73.9979942,chinese,,,,Mulberry Street,122,,restaurant,,,restaurant
Taste of China,40.7055632,-73.8966972,"tex-mex, chinese, american, mexican",+1-718-628-5797,http://tasteofchinaridgewood.com/,Mo-Sa 12:00-22:30,Fresh Pond Road,67-08,,restaurant,,,restaurant
Dao Palate,40.6779429,-73.9727769,asian,+1-718-638-1995,https://daopalate.com,Mo-Su 12:00-22:00,,,,restaurant,,,restaurant
Cafe d'Alsace,40.7794382,-73.9508292,french,+1 212-722-5133,https://www.cafedalsace.com,"Mo-Th 11:30-15:30, 17:00-22:00; Fr 11:30-16:00, 17:00-22:30; Sa 10:00-15:45, 17:00-22:30; Su 10:00-15:45, 17:00-21:00",2nd Avenue,1703,,restaurant,,,restaurant
Tenzan 89,40.7796227,-73.9502226,"japanese, sushi",+1 212-369-3600,http://www.tenzansushi89.com,"Tu, We, Fr 11:00-23:00; Mo, Th 11:00-22:00; Sa 12:00-23:00; Su 12:00-22:00",2nd Avenue,1714,,restaurant,,,restaurant
Vegan Grill,40.7801105,-73.9498604,"sandwich, chicken, mexican, mediterranean, italian, burger, breakfast",,,"Mo-We,Su 12:00-22:00; Th-Sa 10:00-24:00",2nd Avenue,1726,,restaurant,,,restaurant
IKYU,40.7798844,-73.9500298,sushi,+1 212-500-8699,https://www.ikyuny.com/,Mo-Su 12:00-22:00,2nd Avenue,1718,,restaurant,,,restaurant
El Nuevo Sabor,40.8694438,-73.9155626,dominican,+1-212-567-1515,https://elnuevosaborrestaurant.com/,Mo-Sa 07:00-22:00; Su 00:00-24:00,10th Avenue,4032,,restaurant,,,restaurant
Made In Mexico,40.8672533,-73.9171554,mexican,+1-646-726-4849,https://madeinmexico.nyc/,17:00-02:00,10th Avenue,3950,,restaurant,,,restaurant
Guadalupe,40.8674262,-73.9207651,,+1-212-304-1083,https://guadalupebargrill.com/,"Mo-Fr 11:00-00:00; Sa, Su 12:00-01:00",West 207th Street,597,,restaurant,,,restaurant
Guacamole Taqueria,40.8696513,-73.9165505,mexican,+1-646-964-4481,http://guacamoletaqueria.us/,"Mo-Fr 12:00-23:00; Sa, Su 11:00-23:00",Broadway,5025,,restaurant,,,restaurant
Tava,40.6731143,-73.9832079,"turkish, brunch",+1-718-499-5600,https://tavany.com/,Mo-Su 11:00-22:00,,,,restaurant,,,restaurant
Sophistian Mexican Pizzeria,40.7732879,-73.927208,"pizza, mexican",+1-917-456-1025,https://www.sophistianpizzeria.com,"Tu-Th 11:00-21:00, Fr-Sa 11:00-22:00, Su 11:00-21:00",26th Road,18-01,,restaurant,,,restaurant
Armondo's,40.7545963,-73.8931096,italian,,,,Northern Boulevard,73-16,,restaurant,,,restaurant
Seawalk Restaurant,40.8666758,-73.9283593,seafood,+1-212-568-9014,http://seawalkrestaurant.com/,"Mo-We, Su 12:00-00:00; Th-Sa 12:00-02:00",Dyckman Street,261,,restaurant,,,restaurant
Pat'e Palo,40.8665532,-73.9282148,latin_american,+1-646-918-6242,,"Mo-Fr 15:00-04:00; Sa, Su 12:00-04:00",Dyckman Street,251,,restaurant,,,restaurant
Papasito,40.8659316,-73.9274671,mexican,+1-212-544-0001,https://papasitony.com/,"Mo-We 16:00-24:00; Th 14:00-01:00; Fr,Sa 14:00-04:00; Su 11:00-02:00",Dyckman Street,223,,restaurant,,,restaurant
Albert's Mofongo,40.8654854,-73.9268295,latin_american,+1-212-569-3441,http://albertsmofongoonline.com/,24/7,Broadway,4762,,restaurant,,,restaurant
Yayo's,40.6819661,-73.9768617,latin_american,+1-718-622-8922,https://yayosrestaurant.business.site,Tu-Su 11:00-22:00,5th Avenue,36,,restaurant,,,restaurant
Bird Pepper,40.6800952,-73.9743553,caribbean,+1-718-541-5458,https://www.birdpeppercuisine.com,"Tu-Th 16:00-23:00, Fr 16:00-24:00, Sa 12:00-24:00, Su 12:00-22:00",,,,restaurant,,,restaurant
Sofreh,40.679831,-73.9739893,persian,+1-646-798-1690,https://www.sofrehnyc.com,Tu-Sa 18:00-22:00; Su 18:00-21:30,,,,restaurant,,,restaurant
Ocean Bay Seafood Restaurant,40.7370147,-73.8801706,chinese,+1-718-898-1188;+1-718-898-1288,,Mo-Su 10:00-20:00; PH unknown,Queens Boulevard,83-02,Elmhurst,restaurant,,,restaurant
Amorina,40.6775351,-73.969119,"italian, pizza",+1-718-230-3030,http://www.amorinapizza.com,"We-Th 17:00-21:00, Fr 16:00-22:00, Sa 12:00-22:00, Su 12:00-21:00",,,,restaurant,,,restaurant
New Choy Hing,40.6883879,-73.9157653,chinese,+1-718-574-8755,,"Mo-Th 11:30-23:30; Su 12:00-23:30; Fr,Sa 11:30-00:30",Bushwick Avenue,1201,,restaurant,,,restaurant
Midnight Express Diner,40.7797881,-73.9505975,diner,+1 212-860-2320,https://www.midnightexpressdiner.com,24/7,2nd Avenue,1715,,restaurant,,,restaurant
Honeys Thai Pavilion,40.8477394,-73.8311446,thai,,,,Westchester Avenue,3036,,restaurant,,,restaurant
Giovanni,40.8518557,-73.82982,italian,+1-718-892-4340,,,Westchester Avenue,3209,,restaurant,,,restaurant
Lee Xing Restaurant,40.8518232,-73.8298862,chinese,,,,Westchester Avenue,3207,,restaurant,,,restaurant
Layali,40.7573863,-73.91537,,,,,Broadway,44-09,,restaurant,,,restaurant
Gojo Teriyaki,40.6741723,-73.9996782,japanese,+1-929-295-3853,https://www.gojoteriyaki.com,Mo-Su 11:30-21:30,Court Street,545,Brooklyn,restaurant,,,restaurant
Empire Corner 2,40.8004366,-73.9463914,chinese,+1 212-410-5756,,Mo-Fr 11:00-23:00; Sa 11:00-24:00; Su 12:00-23:00,5th Avenue,1415,,restaurant,,,restaurant
Chimi Mundo,40.6949193,-73.9117776,dominican,+1-347-295-3600,,Mo-Su 15:00-07:00,Knickerbocker Avenue,664,,restaurant,,,restaurant
Aris Pollos A La Brasa,40.6946746,-73.9107752,chicken,+1-718-381-9400,,Mo-Su 09:00-22:00,Knickerbocker Avenue,691,,restaurant,,,restaurant
Fazio's,40.6944277,-73.9103732,pizza,+1-347-529-3222,https://www.faziosofbushwick.com/,"Fr, Sa 11:30-23:30; Mo-Th, Su 11:30-22:30",Knickerbocker Avenue,709,,restaurant,,,restaurant
Chen Yuan,40.6942261,-73.9105742,chinese,+1-718-919-2542,,"Su 12:00-23:00; Mo-Th 11:00-23:00; Fr, Sa 11:00-24:00",Knickerbocker Avenue,714,,restaurant,,,restaurant
The Haab Mexican Cafe,40.7389983,-73.9177966,,,,Mo 08:00-19:00; Tu-Su 07:00-18:00,48th Avenue,47-22,,restaurant,,,restaurant
Oasis Pizza & Gyro,40.7435022,-73.924182,,,https://www.oasispizzany.com/,Mo-Su 11:00-24:00,Queens Boulevard,40-02,,restaurant,,,restaurant
de Mole,40.7392696,-73.9202773,mexican,+1 718-392-2161,https://demolenyc.com/home,10:00-23:00,48th Avenue,45-02,,restaurant,,,restaurant
Danubius,40.7403152,-73.9238799,romanian,+1-347-651-9282,,Mo-Su 12:00-23:00,41st Street,47-57,,restaurant,,,restaurant
Mad For Chicken,40.7431115,-73.9207685,chicken,+1-347-808-0178,https://madforchicken.com/locations/sunnyside/,"Mo-We, Su 11:00-01:00; Th-Sa 11:00-02:00",Queens Boulevard,43-16,Sunnyside,restaurant,,,restaurant
Bajeko Sekuwa The Himalayan Grill,40.7431316,-73.9209224,,+1 347-808-8100,,,Queens Boulevard,43-16,,restaurant,,,restaurant
Teppanyaki One,40.7440319,-73.9236153,japanese,+1 347-448-6634,https://teppanyakione.com/,Mo-Sa 10:45-21:30; Su 10:45-21:00,Queens Boulevard,40-15,,restaurant,,,restaurant
Doma,40.7442007,-73.9230967,korean,+1 718-707-0615,https://doma-restaurant.square.site/,Mo-Sa 10:30-22:00,41st Street,43-43,,restaurant,,,restaurant
Sotto le Stelle,40.7436231,-73.9201306,"italian, pizza",,,"Mo-Th 16:00-22:00; Fr, Sa 12:00-23:00; Su 12:00-22:00",Queens Boulevard,44-07,,restaurant,,,restaurant
Sunnyside Bro's Cafe,40.7442397,-73.9240432,"diner,  greek,  mexican",+1 718-349-3413,https://www.thebrotherscafe.com/Welcome.tpl#,Mo-Sa 06:30-20:30; Su 07:00-19:00,40th Street,43-47,,restaurant,,,restaurant
El Tepeyac Taqueria,40.7866636,-73.9501801,mexican,+1 212-722-2020,,Mo-Su 08:00-23:00,Lexington Avenue,1505,,restaurant,,,restaurant
Mi Lindo Mexico,40.6955523,-73.9169883,mexican,+1-718-484-3877,,"Mo-We, Su 10:00-22:00; Th-Sa 10:00-24:00",Wilson Avenue,340,,restaurant,,,restaurant
Rosario Pizza,40.6941379,-73.9184939,pizza,+1-718-455-0949,https://rosario-pizza.business.site/,Mo-Sa 11:00-22:00,Central Avenue,374,,restaurant,,,restaurant
Robert's Steakhouse,40.7630348,-73.9972682,steak,+1-212-245-0002,http://www.pecnyc.com,Mo-Fr 19:00-00:30; Sa 08:00-00:30,West 45th Street,603,,restaurant,,,restaurant
BBF,40.7219414,-73.987541,japanese,,,,Ludlow Street,177,New York,restaurant,,,restaurant
Taverna Di Bacco,40.7218756,-73.9875758,italian,+1 212 477 0077,,,,,,restaurant,,,restaurant
Le French Diner,40.7220477,-73.9880873,french,+1 212 777 1577,http://lefrenchdiner.com,,,,,restaurant,,,restaurant
Tacos & Tequilla,40.7807448,-73.9494056,mexican,+1 917-340-6234,https://tacos-tequila-mexican-restaurant.business.site,10:00-22:00,2nd Avenue,1742,,restaurant,,,restaurant
Il Carino,40.7794982,-73.9503164,italian,+1 646-882-0487,https://www.ilcarinorestaurantnyc.com/,16:00-22:00,2nd Avenue,1710,,restaurant,,,restaurant
Mughlai,40.7800549,-73.9498849,indian,+1 212-722-6262,https://mughlaicuisineny.com/,"Mo-Th 11:00-15:00, 17:00-22:00; Fr 11:00-15:00, 17:00-22:30; Sa 11:00-22:30; Su 11:00-22:00",2nd Avenue,1724,,restaurant,,,restaurant
Chef's Table at Brooklyn Fare,40.7560775,-73.996449,,+1-718-243-0050,https://www.brooklynfare.com/pages/chefs-table,"Tu-Th 18:00-19:30; Fr, Sa 17:30-22:00",West 37th Street,431,,restaurant,,,restaurant
T-swirl Crêpe,40.7601748,-73.8265332,"crepe, fruit",(917) 285-2521,https://t-swirlcrepe.com/,Mo-Su 10:00-23:00,Union Street,40-08,Flushing,restaurant,,,restaurant
Xe Lua,40.7165861,-73.9987702,vietnamese,+12125778887,https://xeluanewyork.com/,,,,,restaurant,,,restaurant
Burger It Up,40.7043445,-73.9283824,"burger, chicken, sandwich, salad",+1-347-318-2618,https://burgerituptogo.com/,Mo-Th 11:00-22:00; Fr 11:00-24:00; Sa 13:00-24:00; Su 13:00-22:00,Knickerbocker Avenue,146,,restaurant,,,restaurant
Taqueria El Fogon,40.7044239,-73.929124,mexican,+1-718-497-7445,https://taqueriaelfogon.com/,"Mo-Th, Su 09:00-22:30; Fr, Sa 09:00-23:00",Flushing Avenue,1050,,restaurant,,,restaurant
Tomo,40.704672,-73.9292626,japanese,+1-718-456-3695,,Mo-Th 11:30-23:00; Fr 11:30-23:30; Sa 01:00-23:30; Su 13:00-23:00,Flushing Avenue,1077,,restaurant,,,restaurant
The Spaniard,40.7327579,-74.0021665,american,,,,West 4th Street,190,,restaurant,,,restaurant
Lucky Bento VIP Cuisine,40.7624541,-73.8314591,,+1-929-269-6888,,,Main Street,36-29,,restaurant,,,restaurant
Botte di Vino,40.6678455,-73.9805935,"italian, brunch",+1-718-499-4741,https://www.bottedivinoparkslope.com,Mo-Th 11:00-22:00; Fr-Su 09:00-23:00,,,Brooklyn,restaurant,,,restaurant
Norwind's,40.7041085,-73.9306031,latin_american,+1-347-725-3025,https://www.norwindsbk.com,"Tu-Th 12:00-23:00, Fr-Sa 12:00-02:00, Su 12:00-22:00",Flushing Avenue,1041,,restaurant,,,restaurant
Tabaré,40.7038002,-73.93073,,+1-347-318-3885,https://www.tabarenyc.com/bushwick,Mo-Th 17:00-23:00; Fr 17:00-12:00; Sa-Su 12:00-23:00,Flushing Avenue,1006,Brooklyn,restaurant,,,restaurant
The Granola Bar,40.7880284,-73.9745068,,+1-929-626-8151,https://www.thegranolabar.com/upper-west-side,Mo-Fr 07:00-22:00; Sa-Su 08:00-22:00,Amsterdam Avenue,551,,restaurant,,,restaurant
Jacob's Pickles,40.7866419,-73.9755423,american,+1-212-470-5566,https://www.jacobspickles.com/location/jacobs-pickles-upper-west-side/,Mo-Fr 10:00-24:00; Sa-Su 09:00-24:00,Amsterdam Avenue,509,New York,restaurant,,,restaurant
Ajihei,40.7041321,-73.9280327,japanese,+1-718-552-2065,https://ajiheibushwick.business.site/,"Fr 18:00-23:00; Tu 18:00-22:00; We, Th 18:30-22:00; Su 13:00-16:00, 18:00-22:00; Sa 13:00-16:00, 18:00-23:00",Knickerbocker Avenue,156,,restaurant,,,restaurant
Chicken Lovers,40.7608273,-73.7672044,american,(718) 225-8482,http://www.chicken-lovers.com/,Mo-Sa 11:00-20:30,215-09,,,restaurant,,,restaurant
Zefe's,40.697545,-73.9290349,"mexican, american",+1-718-919-8561,,Mo-Su 12:00-24:00,Myrtle Avenue,1224,,restaurant,,,restaurant
